;treffen bewegung seite;theater bühne rolle;könig zimmer jung;thl gr kirche;lassen weise mensch;blatt verfasser abendblatt;hiesig finden haus;blatt armee nachricht;könig majestät krankheit;bild kunst künstler;brief stadt richtung;kind jung frau;wissenschaft geist staat;staat nation gesetz;sprechen halten pferd
10_04_2_Der_verlegene_Magistrat._Eine_Anekdote;0.0021052632;0.0021052632;0.1073684211;0.0231578947;0.1915789474;0.0021052632;0.0021052632;0.0231578947;0.0021052632;0.0021052632;0.0021052632;0.3810526316;0.0021052632;0.1073684211;0.1494736842
10_04_3_Theater._Den_2._October__Ton_des_Tages_Lustspiel_von_Vo;0.0738738739;0.2;0.0018018018;0.0018018018;0.5603603604;0.1459459459;0.0018018018;0.0018018018;0.0018018018;0.0018018018;0.0018018018;0.0018018018;0.0018018018;0.0018018018;0.0018018018
10_04_4_Tagesbegebenheiten._4.10.1810;0.088;0.088;0.008;0.008;0.088;0.088;0.008;0.008;0.248;0.008;0.248;0.008;0.008;0.008;0.088
10_04_5_Polizei-Rapport._Vom_4ten_October;0.0178861789;0.0016260163;0.0016260163;0.0016260163;0.09918699190000001;0.14796747970000002;0.3756097561;0.0016260163;0.0016260163;0.0016260163;0.0341463415;0.09918699190000001;0.0178861789;0.1967479675;0.0016260163
10_05_1_Ode_auf_den_Wiedereinzug_des_Koenigs_im_Winter_1809;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.44;0.04;0.04;0.04;0.04;0.04;0.04
10_05_2_Literarische_Merkwuerdigkeiten;0.0579439252;0.0018691589;0.0018691589;0.09532710280000001;0.3196261682;0.0018691589;0.0018691589;0.0018691589;0.0205607477;0.2074766355;0.039252336400000004;0.2074766355;0.0018691589;0.0018691589;0.039252336400000004
10_05_3_Der_Griffel_Gottes;0.0028169014000000003;0.0028169014000000003;0.2563380282;0.0028169014000000003;0.3126760563;0.030985915500000002;0.0028169014000000003;0.0028169014000000003;0.0028169014000000003;0.0028169014000000003;0.0028169014000000003;0.3126760563;0.0028169014000000003;0.0591549296;0.0028169014000000003
10_05_4_Theater;0.0021978022;0.6615384615000001;0.0021978022;0.0021978022;0.156043956;0.0461538462;0.0021978022;0.0021978022;0.0021978022;0.0021978022;0.0241758242;0.0021978022;0.0021978022;0.0021978022;0.0901098901
10_05_5_Tagesbegebenheiten._5.10.1810;0.006896551700000001;0.006896551700000001;0.006896551700000001;0.21379310340000002;0.006896551700000001;0.006896551700000001;0.6965517241;0.006896551700000001;0.006896551700000001;0.006896551700000001;0.006896551700000001;0.006896551700000001;0.006896551700000001;0.006896551700000001;0.006896551700000001
10_05_6_An_das_Publikum;0.0014388489;0.0158273381;0.0014388489;0.0302158273;0.0877697842;0.5194244604;0.1021582734;0.0014388489;0.0014388489;0.0014388489;0.2028776978;0.0014388489;0.0302158273;0.0014388489;0.0014388489
10_06_1_Kunst-Ausstellung;0.0015503876;0.0015503876;0.0015503876;0.0015503876;0.2651162791;0.0170542636;0.0015503876;0.0170542636;0.0945736434;0.4356589147;0.0015503876;0.1565891473;0.0015503876;0.0015503876;0.0015503876
10_06_2_Anekdote_aus_dem_letzten_preuischen_Kriege;0.0377708978;0.000619195;0.013003096;0.000619195;0.000619195;0.000619195;0.000619195;0.0377708978;0.000619195;0.000619195;0.000619195;0.0625386997;0.0068111455;0.000619195;0.8365325077
10_06_3_Polizeiliche_Tages-Mittheilungen._6.10.1810;0.0105263158;0.0105263158;0.0105263158;0.3263157895;0.0105263158;0.0105263158;0.5368421053;0.0105263158;0.0105263158;0.0105263158;0.0105263158;0.0105263158;0.0105263158;0.0105263158;0.0105263158
10_06_4_Geruechte;0.009523809500000001;0.1047619048;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.4857142857;0.2;0.1047619048;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001
